City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,tomatlan,19.9333,-105.25,300.78,45,26,2.69,MX,1712879665
312,kill devil hills,36.0307,-75.676,294.15,90,100,12.35,US,1712879665
313,new norfolk,-42.7826,147.0587,287.99,84,93,0.86,AU,1712879614
314,cabo san lucas,22.8909,-109.9124,299.76,40,40,5.14,MX,1712879396
315,champerico,14.3,-91.9167,307.45,69,58,3.19,GT,1712879665
316,big rapids,43.6981,-85.4837,281.87,89,100,5.14,US,1712879665
317,yinchuan,38.4681,106.2731,289.08,26,5,1.53,CN,1712879665
318,greymouth,-42.4667,171.2,285.4,83,81,5.24,NZ,1712879666
319,taulaga,-11.0553,-171.0883,302.79,75,30,4.06,AS,1712879666
320,kavieng,-2.5744,150.7967,301.28,75,98,1.79,PG,1712879652
321,mpulungu,-8.7623,31.1141,295.25,86,52,2.49,ZM,1712879666
322,reggane,26.7158,0.1714,297.5,19,0,7.22,DZ,1712879666
323,hadibu,12.65,54.0333,299.95,78,92,2.06,YE,1712879666
324,antonio enes,-16.2325,39.9086,298.8,87,81,5.84,MZ,1712879606
325,cockburn town,21.4612,-71.1419,298.39,81,4,9.6,TC,1712879666
326,rabigh,22.7986,39.0349,296.82,53,4,3.23,SA,1712879667
327,grand falls-windsor,48.9332,-55.6649,274.45,73,5,2.78,CA,1712879667
328,qa'en,33.7265,59.1844,287.32,62,54,2.56,IR,1712879667
329,babu,24.4167,111.5167,297.76,91,99,0.84,CN,1712879667
330,kargasok,59.0556,80.8572,259.24,93,22,1.79,RU,1712879668
331,harran,36.86,39.0314,288.5,74,23,1.56,TR,1712879668
332,maragogi,-9.0122,-35.2225,300.05,82,41,2.93,BR,1712879422
333,mukharram al fawqani,34.8151,37.0861,285.1,91,1,2.04,SY,1712879669
334,machico,32.7,-16.7667,297.11,59,0,5.66,PT,1712879669
335,val-d'or,48.1002,-77.7828,282.2,87,100,2.57,CA,1712879671
336,shima,24.4478,117.8111,294.16,76,5,0.78,CN,1712879671
337,belmonte,-15.8631,-38.8828,299.21,85,40,2.45,BR,1712879671
338,bandarbeyla,9.4942,50.8122,300.82,86,40,1.89,SO,1712879672
339,galeana,24.8333,-100.0667,290.77,25,57,4.58,MX,1712879673
340,kuusamo,65.9667,29.1833,274.17,75,0,3.6,FI,1712879673
341,luderitz,-26.6481,15.1594,294.67,47,0,1.85,NA,1712879674
342,pavlodar,52.3,76.95,272.04,93,75,3.0,KZ,1712879674
343,east london,-33.0153,27.9116,288.55,65,38,6.75,ZA,1712879452
344,georgetown,5.4112,100.3354,300.9,83,20,1.03,MY,1712879674
345,coquimbo,-29.9533,-71.3436,287.0,88,100,2.57,CL,1712879529
346,queenstown,-31.8976,26.8753,277.26,87,0,0.68,ZA,1712879445
347,labrador city,52.9463,-66.9114,277.1,70,100,5.66,CA,1712879410
348,hermanus,-34.4187,19.2345,285.82,75,33,6.9,ZA,1712879675
349,zorya,45.9908,29.6967,290.5,71,35,5.69,UA,1712879676
350,newport,51.5877,-2.9984,286.53,92,100,5.38,GB,1712879536
351,howard springs,-12.497,131.047,299.72,78,98,3.32,AU,1712879677
352,kiama,-34.6833,150.8667,294.4,74,0,0.45,AU,1712879679
353,ixtapa,20.7,-105.2,301.86,46,69,2.77,MX,1712879679
354,ouro preto do oeste,-10.7481,-62.2158,297.46,95,55,1.92,BR,1712879679
355,tazovsky,67.4667,78.7,251.77,92,68,7.5,RU,1712879680
356,bol,13.4586,14.7147,300.96,36,59,7.46,TD,1712879683
357,mola di bari,41.0609,17.0873,288.84,74,100,5.07,IT,1712879689
358,mugia,43.1041,-9.2179,287.54,72,94,2.39,ES,1712879626
359,villa gesell,-37.2639,-56.973,285.96,60,99,4.58,AR,1712879695
360,darnah,32.767,22.6367,290.07,81,100,7.62,LY,1712879695
361,karachi,24.9056,67.0822,298.05,78,1,2.57,PK,1712879696
362,sinnar,13.5691,33.5672,301.29,10,9,5.02,SD,1712879696
